"Support Categories","Categorías de soporte"
Created,Creada
Modified,Modificada
"Delete Categories","Borrar Categorías"
"Thumbnail","Miniatura"
"FAQs Manager","FAQs Manager"
"Add New FAQ","Add New FAQ"
"Save FAQ","Save FAQ"
"Save and Continue Edit","Save and Continue Edit"
Delete,Delete
Answer,Answer
"General Information","General Information"
Status,Status
Title,Title
"Most frequently","Más frecuentes"
Category,Categoría
"Sort Order","Orden"
"Search Engine Optimisation","Search Engine Optimisation"
"URL Key","URL Key"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"FAQ in Websites","FAQ in Websites"
"Stores View","Stores View"
"Question Information","Question Information"
"FAQ Categories Manager","FAQ Categories Manager"
"Add New Category","Add New Category"
"Save Category","Save Category"
"Category icon","Category icon"
"Allow image type: jpg, jpeg, gif, png","Allow image type: jpg, jpeg, gif, png"
Action,Action
Edit,Edit
"FAQ Category in Websites","FAQ Category in Websites"
"Category Information","Category Information"
"FAQs in Category","FAQs in Category"
Home,Home
"Go to Home Page","Go to Home Page"
FAQs,FAQs
"Go to FAQs Page","Go to FAQs Page"
title,title
meta_keywords,meta_keywords
meta_description,meta_description
"Frequently Asked Questions","Preguntas Frecuentes"
"Search: ","Buscar: "
"The ""' . . '"" FAQ has been deleted.","The ""' . . '"" FAQ has been deleted."
"FAQ to delete was not found.","FAQ to delete was not found."
"This FAQ no longer exists.","This FAQ no longer exists."
"Edit FAQ","Edit FAQ"
"New FAQ","New FAQ"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been deactivated.","A total of %1 record(s) have been deactivated."
"A total of %1 record(s) have been activated.","A total of %1 record(s) have been activated."
"You saved the FAQ.","You saved the FAQ."
"Something went wrong while saving the FAQ.","Something went wrong while saving the FAQ."
"The ""' . . '"" Category has been deleted.","The ""' . . '"" Category has been deleted."
"Category to delete was not found.","Category to delete was not found."
"This Category no longer exists.","This Category no longer exists."
"Edit Category","Editar Categoría"
"New Category","Añadir Categoría"
"You saved the Category.","You saved the Category."
"'Can not save the Category icon: ' .","'Can not save the Category icon: ' ."
"'Something went wrong while saving the Category: ' .","'Something went wrong while saving the Category: ' ."
"Active","Activa"
InActive,Inactiva
"Yes","Si"
"No","No"
"URL key for specified store already exists.","URL key for specified store already exists."
"The faq URL key cannot be made of only numbers.","The faq URL key cannot be made of only numbers."
"The Category URL key cannot be made of only numbers.","The Category URL key cannot be made of only numbers."
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete this question?","Are you sure you wan't to delete this question?"
"View","Ver"
"Are you sure you wan't to delete this category?","Are you sure you wan't to delete this category?"
"FAQ Category Thumbnail","FAQ Category Thumbnail"
"Categories","Categorías"
"Frequent Questions","Preguntas Frecuentes"
"Read more","Leer más"
"There are no FAQs was found.","There are no FAQs was found."
"No categories found","No se han encontrado categorías"
"No frequently asked questions found","No se han encontrado preguntas"
"Latest Questions","Preguntas recientes"
"No latest questions found","No se han encontrado preguntas recientes"
"Created by","Creada por"
"Published in","Publicada en"
"Views","Visualizaciones"
"Glad to hear it — Thanks for the feedback","Gracias por tu opinión"
"Was this article helpful?","¿Te ha resultado útil?"
"Related Questions","Preguntas relacionadas"
"Go back","Volver"
"New Question","Nueva Pregunta"
"Store View","Store View"
"Delete FAQs","Delete FAQs"
"Are you sure you wan't to delete selected FAQs?","Are you sure you wan't to delete selected FAQs?"
"Deactivate","Desactivar"
"Deactivate FAQs","Desactivar"
"Are you sure you wan't to deactivate selected FAQs?","Are you sure you wan't to deactivate selected FAQs?"
"Activate","Activar"
"Activate FAQs","Activar"
"Are you sure you wan't to activate selected FAQs?","Are you sure you wan't to activate selected FAQs?"
"ID","ID"
"Viewed","Viewed"
"Liked","Liked"
"Disliked","Disliked"
"Popular Questions","Preguntas Populares"
"Are you sure you wan't to delete selected Categories?","Are you sure you wan't to delete selected Categories?"
"Deactivate Categories","Deactivate Categories"
"Are you sure you wan't to deactivate selected Categories?","Are you sure you wan't to deactivate selected Categories?"
"Activate Categories","Activate Categories"
"Are you sure you wan't to activate selected Categories?","Are you sure you wan't to activate selected Categories?"
